2021-08-16 14:45:59 DEBUG BasicTypeRegistry:157 - Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@1b9c1b51
2021-08-16 14:45:59 DEBUG BasicTypeRegistry:157 - Adding type registration timezone -> org.hibernate.type.TimeZoneType@4d4960c8
2021-08-16 14:45:59 DEBUG BasicTypeRegistry:157 - Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@4d4960c8
2021-08-16 14:45:59 DEBUG BasicTypeRegistry:157 - Adding type registration class -> org.hibernate.type.ClassType@1a5b8489
2021-08-16 14:45:59 DEBUG BasicTypeRegistry:157 - Adding type registration java.lang.Class -> org.hibernate.type.ClassType@1a5b8489
2021-08-16 14:45:59 DEBUG BasicTypeRegistry:157 - Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@2d84cb86
2021-08-16 14:45:59 DEBUG BasicTypeRegistry:157 - Adding type registration java.util.UUID -> org.hibernate.type.UUIDBinaryType@2d84cb86
2021-08-16 14:45:59 DEBUG BasicTypeRegistry:157 - Adding type registration uuid-char -> org.hibernate.type.UUIDCharType@25d958c6
2021-08-16 14:45:59 DEBUG BasicTypeRegistry:157 - Adding type registration binary -> org.hibernate.type.BinaryType@3f36b447
2021-08-16 14:45:59 DEBUG BasicTypeRegistry:157 - Adding type registration byte[] -> org.hibernate.type.BinaryType@3f36b447
2021-08-16 14:45:59 DEBUG BasicTypeRegistry:157 - Adding type registration [B -> org.hibernate.type.BinaryType@3f36b447
2021-08-16 14:45:59 DEBUG BasicTypeRegistry:157 - Adding type registration wrapper-binary -> org.hibernate.type.WrapperBinaryType@264c5d07
2021-08-16 14:45:59 DEBUG BasicTypeRegistry:157 - Adding type registration Byte[] -> org.hibernate.type.WrapperBinaryType@264c5d07
2021-08-16 14:45:59 DEBUG BasicTypeRegistry:157 - Adding type registration [Ljava.lang.Byte; -> org.hibernate.type.WrapperBinaryType@264c5d07
2021-08-16 14:45:59 DEBUG BasicTypeRegistry:157 - Adding type registration row_version -> org.hibernate.type.RowVersionType@4e868ef5
2021-08-16 14:45:59 DEBUG BasicTypeRegistry:157 - Adding type registration image -> org.hibernate.type.ImageType@247667dd
2021-08-16 14:45:59 DEBUG BasicTypeRegistry:157 - Adding type registration characters -> org.hibernate.type.CharArrayType@46c00568
2021-08-16 14:45:59 DEBUG BasicTypeRegistry:157 - Adding type registration char[] -> org.hibernate.type.CharArrayType@46c00568
2021-08-16 14:45:59 DEBUG BasicTypeRegistry:157 - Adding type registration [C -> org.hibernate.type.CharArrayType@46c00568
2021-08-16 14:45:59 DEBUG BasicTypeRegistry:157 - Adding type registration wrapper-characters -> org.hibernate.type.CharacterArrayType@59942b48
2021-08-16 14:45:59 DEBUG BasicTypeRegistry:157 - Adding type registration [Ljava.lang.Character; -> org.hibernate.type.CharacterArrayType@59942b48
2021-08-16 14:45:59 DEBUG BasicTypeRegistry:157 - Adding type registration Character[] -> org.hibernate.type.CharacterArrayType@59942b48
2021-08-16 14:45:59 DEBUG BasicTypeRegistry:157 - Adding type registration text -> org.hibernate.type.TextType@f9b5552
2021-08-16 14:45:59 DEBUG BasicTypeRegistry:157 - Adding type registration ntext -> org.hibernate.type.NTextType@21f9277b
2021-08-16 14:45:59 DEBUG BasicTypeRegistry:157 - Adding type registration blob -> org.hibernate.type.BlobType@7e8a46b7
2021-08-16 14:45:59 DEBUG BasicTypeRegistry:157 - Adding type registration java.sql.Blob -> org.hibernate.type.BlobType@7e8a46b7
2021-08-16 14:45:59 DEBUG BasicTypeRegistry:157 - Adding type registration materialized_blob -> org.hibernate.type.MaterializedBlobType@6079cf5
2021-08-16 14:45:59 DEBUG BasicTypeRegistry:157 - Adding type registration clob -> org.hibernate.type.ClobType@4d33940d
2021-08-16 14:45:59 DEBUG BasicTypeRegistry:157 - Adding type registration java.sql.Clob -> org.hibernate.type.ClobType@4d33940d
2021-08-16 14:45:59 DEBUG BasicTypeRegistry:157 - Adding type registration nclob -> org.hibernate.type.NClobType@13cd7ea5
2021-08-16 14:45:59 DEBUG BasicTypeRegistry:157 - Adding type registration java.sql.NClob -> org.hibernate.type.NClobType@13cd7ea5
2021-08-16 14:45:59 DEBUG BasicTypeRegistry:157 - Adding type registration materialized_clob -> org.hibernate.type.MaterializedClobType@71178a52
2021-08-16 14:45:59 DEBUG BasicTypeRegistry:157 - Adding type registration materialized_nclob -> org.hibernate.type.MaterializedNClobType@72209d93
2021-08-16 14:45:59 DEBUG BasicTypeRegistry:157 - Adding type registration serializable -> org.hibernate.type.SerializableType@78411116
2021-08-16 14:45:59 DEBUG BasicTypeRegistry:157 - Adding type registration object -> org.hibernate.type.ObjectType@5972d253
2021-08-16 14:45:59 DEBUG BasicTypeRegistry:157 - Adding type registration java.lang.Object -> org.hibernate.type.ObjectType@5972d253
2021-08-16 14:45:59 DEBUG BasicTypeRegistry:157 - Adding type registration imm_date -> org.hibernate.type.AdaptedImmutableType@5ca1f591
2021-08-16 14:45:59 DEBUG BasicTypeRegistry:157 - Adding type registration imm_time -> org.hibernate.type.AdaptedImmutableType@6ef81f31
2021-08-16 14:45:59 DEBUG BasicTypeRegistry:157 - Adding type registration imm_timestamp -> org.hibernate.type.AdaptedImmutableType@33abde31
2021-08-16 14:45:59 DEBUG BasicTypeRegistry:157 - Adding type registration imm_dbtimestamp -> org.hibernate.type.AdaptedImmutableType@273842a6
2021-08-16 14:45:59 DEBUG BasicTypeRegistry:157 - Adding type registration imm_calendar -> org.hibernate.type.AdaptedImmutableType@7a18e8d
2021-08-16 14:45:59 DEBUG BasicTypeRegistry:157 - Adding type registration imm_calendar_date -> org.hibernate.type.AdaptedImmutableType@5560bcdf
2021-08-16 14:45:59 DEBUG BasicTypeRegistry:157 - Adding type registration imm_binary -> org.hibernate.type.AdaptedImmutableType@bb095
2021-08-16 14:45:59 DEBUG BasicTypeRegistry:157 - Adding type registration imm_serializable -> org.hibernate.type.AdaptedImmutableType@27aae97b
2021-08-16 14:45:59 DEBUG DefaultIdentifierGeneratorFactory:81 - Registering IdentifierGenerator strategy [uuid2] -> [org.hibernate.id.UUIDGenerator]
2021-08-16 14:45:59 DEBUG DefaultIdentifierGeneratorFactory:81 - Registering IdentifierGenerator strategy [guid] -> [org.hibernate.id.GUIDGenerator]
2021-08-16 14:45:59 DEBUG DefaultIdentifierGeneratorFactory:81 - Registering IdentifierGenerator strategy [uuid] -> [org.hibernate.id.UUIDHexGenerator]
2021-08-16 14:45:59 DEBUG DefaultIdentifierGeneratorFactory:81 - Registering IdentifierGenerator strategy [uuid.hex] -> [org.hibernate.id.UUIDHexGenerator]
2021-08-16 14:45:59 DEBUG DefaultIdentifierGeneratorFactory:81 - Registering IdentifierGenerator strategy [assigned] -> [org.hibernate.id.Assigned]
2021-08-16 14:45:59 DEBUG DefaultIdentifierGeneratorFactory:81 - Registering IdentifierGenerator strategy [identity] -> [org.hibernate.id.IdentityGenerator]
2021-08-16 14:45:59 DEBUG DefaultIdentifierGeneratorFactory:81 - Registering IdentifierGenerator strategy [select] -> [org.hibernate.id.SelectGenerator]
2021-08-16 14:45:59 DEBUG DefaultIdentifierGeneratorFactory:81 - Registering IdentifierGenerator strategy [sequence] -> [org.hibernate.id.enhanced.SequenceStyleGenerator]
2021-08-16 14:45:59 DEBUG DefaultIdentifierGeneratorFactory:81 - Registering IdentifierGenerator strategy [seqhilo] -> [org.hibernate.id.SequenceHiLoGenerator]
2021-08-16 14:45:59 DEBUG DefaultIdentifierGeneratorFactory:81 - Registering IdentifierGenerator strategy [increment] -> [org.hibernate.id.IncrementGenerator]
2021-08-16 14:45:59 DEBUG DefaultIdentifierGeneratorFactory:81 - Registering IdentifierGenerator strategy [foreign] -> [org.hibernate.id.ForeignGenerator]
2021-08-16 14:45:59 DEBUG DefaultIdentifierGeneratorFactory:81 - Registering IdentifierGenerator strategy [sequence-identity] -> [org.hibernate.id.SequenceIdentityGenerator]
2021-08-16 14:45:59 DEBUG DefaultIdentifierGeneratorFactory:81 - Registering IdentifierGenerator strategy [enhanced-sequence] -> [org.hibernate.id.enhanced.SequenceStyleGenerator]
2021-08-16 14:45:59 DEBUG DefaultIdentifierGeneratorFactory:81 - Registering IdentifierGenerator strategy [enhanced-table] -> [org.hibernate.id.enhanced.TableGenerator]
2021-08-16 14:45:59 WARN  pooling:72 - HHH10001002: Using Hibernate built-in connection pool (not for production use!)
2021-08-16 14:45:59 INFO  pooling:115 - HHH10001005: using driver [com.mysql.jdbc.Driver] at URL [jdbc:mysql://localhost:3306/ers]
2021-08-16 14:45:59 INFO  pooling:121 - HHH10001001: Connection properties: {password=root, user=root}
2021-08-16 14:45:59 INFO  pooling:129 - HHH10001003: Autocommit mode: false
2021-08-16 14:45:59 DEBUG DriverManagerConnectionProviderImpl:384 - Initializing Connection pool with 1 Connections
2021-08-16 14:45:59 INFO  DriverManagerConnectionProviderImpl:249 - HHH000115: Hibernate connection pool size: 20 (min=1)
2021-08-16 14:46:00 DEBUG JdbcEnvironmentInitiator:72 - Database ->
       name : MySQL
    version : 8.0.22
      major : 8
      minor : 0
2021-08-16 14:46:00 DEBUG JdbcEnvironmentInitiator:83 - Driver ->
       name : MySQL Connector/J
    version : mysql-connector-java-8.0.25 (Revision: 08be9e9b4cba6aa115f9b27b215887af40b159e0)
      major : 8
      minor : 0
2021-08-16 14:46:00 DEBUG JdbcEnvironmentInitiator:389 - JDBC version : 4.2
2021-08-16 14:46:00 INFO  Dialect:172 - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
2021-08-16 14:46:00 DEBUG IdentifierHelperBuilder:113 - JDBC driver metadata reported database stores quoted identifiers in more than one case
2021-08-16 14:46:00 DEBUG IdentifierHelperBuilder:187 - IdentifierCaseStrategy for both quoted and unquoted identifiers was set to the same strategy [LOWER]; that will likely lead to problems in schema update and validation if using quoted identifiers
2021-08-16 14:46:00 DEBUG Namespace:51 - Created database namespace [logicalName=Name{catalog=null, schema=null}, physicalName=Name{catalog=null, schema=null}]
2021-08-16 14:46:00 DEBUG TypeConfiguration$Scope:152 - Scoping TypeConfiguration [org.hibernate.type.spi.TypeConfiguration@a66e580] to MetadataBuildingContext [org.hibernate.boot.internal.MetadataBuildingContextRootImpl@5b852b49]
2021-08-16 14:46:00 DEBUG AnnotationBinder:557 - Binding entity from annotated class: com.project.ers.entity.EmployeeRegEntity
2021-08-16 14:46:00 DEBUG Ejb3Column:213 - Binding column: Ejb3DiscriminatorColumn{logicalColumnName'DTYPE', discriminatorTypeName='string'}
2021-08-16 14:46:00 DEBUG EntityBinder:430 - Import with entity name EmployeeRegEntity
2021-08-16 14:46:00 DEBUG EntityBinder:873 - Bind entity com.project.ers.entity.EmployeeRegEntity on table employeeReg
2021-08-16 14:46:00 DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(employeeReg), mappingColumn=email, insertable=true, updatable=true, unique=false}
2021-08-16 14:46:00 DEBUG PropertyBinder:175 - MetadataSourceProcessor property email with lazy=false
2021-08-16 14:46:00 DEBUG AbstractPropertyHolder:94 - Attempting to locate auto-apply AttributeConverter for property [com.project.ers.entity.EmployeeRegEntity:email]
2021-08-16 14:46:00 DEBUG SimpleValueBinder:411 - building SimpleValue for email
2021-08-16 14:46:00 DEBUG PropertyBinder:266 - Building property email
2021-08-16 14:46:00 DEBUG BinderHelper:644 - #makeIdGenerator(org.hibernate.mapping.SimpleValue([org.hibernate.mapping.Column(email)]), email, assigned, , ...)
2021-08-16 14:46:00 DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(employeeReg), mappingColumn=address, insertable=true, updatable=true, unique=false}
2021-08-16 14:46:00 DEBUG PropertyBinder:175 - MetadataSourceProcessor property address with lazy=false
2021-08-16 14:46:00 DEBUG AbstractPropertyHolder:94 - Attempting to locate auto-apply AttributeConverter for property [com.project.ers.entity.EmployeeRegEntity:address]
2021-08-16 14:46:00 DEBUG SimpleValueBinder:411 - building SimpleValue for address
2021-08-16 14:46:00 DEBUG PropertyBinder:266 - Building property address
2021-08-16 14:46:00 DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(employeeReg), mappingColumn=dob, insertable=true, updatable=true, unique=false}
2021-08-16 14:46:00 DEBUG PropertyBinder:175 - MetadataSourceProcessor property dob with lazy=false
2021-08-16 14:46:00 DEBUG AbstractPropertyHolder:94 - Attempting to locate auto-apply AttributeConverter for property [com.project.ers.entity.EmployeeRegEntity:dob]
2021-08-16 14:46:00 DEBUG SimpleValueBinder:411 - building SimpleValue for dob
2021-08-16 14:46:00 DEBUG PropertyBinder:266 - Building property dob
2021-08-16 14:46:00 DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(employeeReg), mappingColumn=gender, insertable=true, updatable=true, unique=false}
2021-08-16 14:46:00 DEBUG PropertyBinder:175 - MetadataSourceProcessor property gender with lazy=false
